title,author,genre
Impro: Improvisation and the Theatre,Keith Johnstone,Art
Ignore Everybody,Hugh MacLeod,Art
Born Standing Up,Steve Martin,Biography
Just Kids,Patti Smith,Biography
Intimations of Paradise,Christopher Burkett,Art
The Count of Monte Cristo,Alexandre Dumas,Fiction
To Kill a Mockingbird,Harper Lee,Fiction
The Little Prince,Antoine de Saint-Exupery,Fiction
Siddhartha,Herman Hesse,Fiction
The Girl with the Dragon Tattoo,Stieg Larsson,Fiction
Influence: The Psychology of Persuasion,Robert Cialdini,Business
Fooled by Randomness,Nassim Nicholas Taleb,Business
Breakthrough Advertising,Eugene Schwartz,Business
How to Win Friends & Influence People,Dale Carnegie,Business
The Power of Full Engagement,Jim Loehr,Tony Schwartz,Fiction
Starting Strength: Basic Barbell Training,Mark Rippetoe,Fitness
You Are Your Own Gym: The Bible of Bodyweight Exercises,Mark Lauren,Fitness
Strength Training Anatomy,Frederic Delavier,Fitness
Sapiens: A Brief History of Humankind,Yuval Noah Harari,History
Guns, Germs, and Steel: The Fates of Human Societies,Jared Diamond,History
Manual for Living,Epictetus,Philosophy
Meditations,Marcus Aurelius,Philosophy
The Republic,Plato,Philosophy
Thinking, Fast and Slow,Daniel Kahneman,Psychology
The Mysteries of Human Behavior,Mark Leary,Psychology
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Psychology
A Brief History of Time,Stephen Hawking,Science
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,Science
Better: A Surgeon’s Notes on Performance,Atul Gawande,Science
Breakthrough Advertising,Eugene Schwartz,Writing
The Writer’s Journey: Mythic Structure for Writers,Christopher Vogler,Writing
Bird by Bird,Anne Lamott,Writing